filename,iamge_width,iamge_height,box_name,center_x,center_y,box_width,box_height,angle
28,640,640,l2,317.9098,325.7375,67.6538,36.8241,0.49
29,640,640,l1,132.9216,344.9118,34.8485,96.6829,2.981593
29,640,640,l2,318.4073,308.871,35.3611,93.7623,2.941593
29,640,640,l3,238.8136,401.7209,79.0845,33.2062,2.981593
29,640,640,l4,468.3296,211.2988,46.217,27.5412,2.951593
3,640,640,l1,247.689,270.2894,253.663,48.6672,0.53
3,640,640,l2,551.1397,196.4656,188.7321,48.299,2.041593
3,640,640,l3,159.8609,70.2108,135.5546,44.2336,2.061593
30,640,640,l1,322.2689,317.7053,36.124,44.6836,2.421593
31,640,640,l1,318.3264,311.2685,34.525,48.2501,0.17
31,640,640,l2,377.2965,360.6724,37.673,20.0743,0.15
31,640,640,l3,55.6588,294.7137,68.7501,19.5067,0.61
32,640,640,l1,330.4264,306.9273,36.4341,74.0658,0.78
32,640,640,l2,323.562,149.4952,44.5505,135.6544,2.351593
32,640,640,l3,82.7068,293.3468,42.3082,106.9155,2.531593
32,640,640,l4,116.7183,156.5725,97.1138,35.0816,2.681593
33,640,640,l1,376.9316,296.4082,187.2037,46.7738,2.841593
33,640,640,l2,539.6441,359.1697,34.5123,50.9215,2.811593
33,640,640,l3,299.9216,494.9118,32.8012,28.8111,2.771593
34,640,640,l1,316.9142,274.7593,42.3872,116.1913,0.57
34,640,640,l2,338.8174,129.1098,60.5535,56.6018,2.591593
34,640,640,l3,569.789,507.5106,28.1721,32.2431,0.5
35,640,640,l1,314.9216,340.9118,37.4659,93.4147,0.06
35,640,640,l2,271.473,270.0062,34.5589,23.2854,0.07
36,640,640,l1,372.4216,494.4118,34.4183,41.6579,0.01
36,640,640,l2,286.3515,316.0917,151.7339,40.2069,0.14
36,640,640,l3,181.4216,170.9118,36.7348,74.4013,0.25
37,640,640,l1,307.4216,349.9118,36.5819,125.6931,0.54
37,640,640,l2,50.8916,189.8022,34.7868,121.2632,0.56
37,640,640,l3,184.2619,149.8825,54.3768,45.4744,0.57
38,640,640,l1,313.5856,308.4874,33.1381,47.0649,0.75
38,640,640,l2,172.7176,251.6639,34.8279,60.9529,2.461593
38,640,640,l3,330.4127,225.6917,72.8291,49.6371,2.491593
38,640,640,l4,190.9403,164.1177,38.09,43.8818,2.581593
39,640,640,l1,325.053,310.4747,37.7446,43.6393,2.871593
39,640,640,l2,90.0726,379.9249,34.2046,45.7169,2.881593
4,640,640,l1,379.4216,332.9118,226.4646,46.4197,0.12
4,640,640,l2,359.9216,524.4118,254.8,52.2875,0.1
4,640,640,l3,518.0281,422.2357,33.1811,46.448,0.08
4,640,640,l4,222.0043,402.6692,33.9316,48.2172,0.2
40,640,640,l1,322.1901,320.7832,32.2398,36.2195,0.1
5,640,640,l1,229.9348,507.8629,255.4266,51.8566,0.1
5,640,640,l2,249.138,316.2521,225.8922,47.6197,0.12
5,640,640,l3,386.4216,407.4118,33.4203,41.4618,0.08
5,640,640,l4,90.9665,386.0929,32.7576,46.3872,0.17
6,640,640,l1,352.647,449.8022,76.7646,42.7102,0.59
6,640,640,l2,338.7585,295.5235,129.7666,53.6458,2.271593
7,640,640,l1,553.3282,350.3628,38.407,197.6441,2.491593
7,640,640,l2,359.8158,297.2002,128.0883,50.5413,2.681593
7,640,640,l3,516.5756,194.2852,48.9181,28.5263,0.71
8,640,640,l1,356.8165,474.2758,197.2337,38.1997,0.92
8,640,640,l2,161.2205,422.7474,130.6644,48.785,2.671593
8,640,640,l3,320.4216,318.9118,48.0356,30.1593,0.72
9,640,640,l1,275.4216,276.4118,209.2585,51.0968,0.62
